mp_id,post_id,unit_id,parent_id,unit_type,unit_code,post_title
14393,3,138,,mpg,BRA,Член групи з міжпарламентських зв'язків з Федеративною Республікою Бразилія
14393,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
14393,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18027,6,118,,cmt,komsamovr,"Член Комітету Верховної Ради України з питань державного будівництва, регіональної політики та місцевого самоврядування"
18027,31,111,,fra,sp,"Голова депутатської фракції Політичної партії ""Об'єднання ""САМОПОМІЧ"""
18027,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18027,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15829,21,59,,grp,gPV,"Член депутатської групи ""Партія ""Відродження"""
15829,6,19,,cmt,komagropolit,Член Комітету Верховної Ради України з питань аграрної політики та земельних відносин
15829,3,77,,mpg,ITA,Член групи з міжпарламентських зв'язків з Італійською Республікою
15829,3,45,,mpg,CAN,Член групи з міжпарламентських зв'язків з Канадою
15829,3,139,,mpg,BHR,Член групи з міжпарламентських зв'язків з Королівством Бахрейн
15829,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
15829,3,140,,mpg,KWT,Член групи з міжпарламентських зв'язків з Державою Кувейт
11173,6,62,,cmt,kompek,"Член Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки"
11173,2,12,,fra,but,"Член депутатської фракції політичної партії ""Всеукраїнське об'єднання ""Батьківщина"" у Верховній Раді України"
11173,3,67,,mpg,AUT,Член групи з міжпарламентських зв'язків з Австрійською Республікою
11173,3,15,,mpg,GBR,Член групи з міжпарламентських зв'язків з Сполученим Королівством Великої Британії та Північної Ірландії
11173,3,77,,mpg,ITA,Член групи з міжпарламентських зв'язків з Італійською Республікою
11173,3,11,,mpg,POL,Член групи з міжпарламентських зв'язків з Республікою Польща
11173,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
11173,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
11173,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
17972,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
17972,16,103,,cmt,komzdrav,Голова Комітету Верховної Ради України з питань охорони здоров'я
17972,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
8725,21,52,,grp,gPW,"Член депутатської групи ""Воля народу"""
8725,6,100,,cmt,komnbo,Член Комітету Верховної Ради України з питань національної безпеки і оборони
16698,1,141,118,sct,komsamovr15,"Голова підкомітету з питань органів самоорганізації населення, місцевих виборів та інших форм безпосередньої демократії Комітету Верховної Ради України з питань державного будівництва, регіональної політики та місцевого самоврядування"
16698,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
16698,3,70,,mpg,NOR,Член групи з міжпарламентських зв'язків з Королівством Норвегія
16698,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
16698,3,142,,mpg,PER,Член групи з міжпарламентських зв'язків з Республікою Перу
16698,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
16698,3,30,,mpg,EST,Член групи з міжпарламентських зв'язків з Естонською Республікою
16698,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
16698,3,138,,mpg,BRA,Член групи з міжпарламентських зв'язків з Федеративною Республікою Бразилія
11094,6,143,,cmt,komvti,Член Комітету Верховної Ради України у справах ветеранів та осіб з інвалідністю
11094,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
15826,6,95,,cmt,reglament,Член Комітету Верховної Ради України з питань Регламенту та організації роботи Верховної Ради України
15826,32,59,,grp,gPV,"Співголова депутатської групи ""Партія ""Відродження"""
15826,3,67,,mpg,AUT,Член групи з міжпарламентських зв'язків з Австрійською Республікою
15826,3,96,,mpg,ARE,Член групи з міжпарламентських зв'язків з Об'єднаними Арабськими Еміратами
15826,3,4,,mpg,ISR,Член групи з міжпарламентських зв'язків з Державою Ізраїль
15826,3,144,,mpg,SAU,Член групи з міжпарламентських зв'язків з Королівством Саудівська Аравія
15826,3,48,,mpg,DEU,Член групи з міжпарламентських зв'язків з Федеративною Республікою Німеччина
15826,3,43,,mpg,LVA,Член групи з міжпарламентських зв'язків з Латвійською Республікою
15826,3,14,,mpg,USA,Член групи з міжпарламентських зв'язків з Сполученими Штатами Америки
18066,1,145,62,sct,kompek07,"Голова підкомітету з питань вугільної промисловості Комітету Верховної Ради України з питань паливно-енергетичного комплексу, ядерної політики та ядерної безпеки"
18066,2,20,,fra,nf,"Член депутатської фракції Політичної партії ""НАРОДНИЙ ФРОНТ"""
18066,3,21,,mpg,JPN,Член групи з міжпарламентських зв'язків з Японією
18066,3,110,,mpg,ARG,Член групи з міжпарламентських зв'язків з Аргентинською Республікою
18066,3,140,,mpg,KWT,Член групи з міжпарламентських зв'язків з Державою Кувейт
18066,3,146,,mpg,IRN,Член групи з міжпарламентських зв'язків з Республікою Іран
18066,22,147,,mpa,uMPA_LV_PL,"Член Української частини міжпарламентської асамблеї Верховної Ради України, Сейму Литовської Республіки та Сейму і Сенату Республіки Польща"
18066,3,89,,mpg,AFG,Член групи з міжпарламентських зв'язків з Ісламською Республікою Афганістан
17998,1,148,149,sct,kompravlud04,"Голова підкомітету з питань міжнаціональних відносин Комітету Верховної Ради України з питань прав людини, національних меншин і міжнаціональних відносин"
17998,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
17998,3,10,,mpg,CHN,Член групи з міжпарламентських зв'язків з Китайською Народною Республікою
17998,3,150,,mpg,DNK,Член групи з міжпарламентських зв'язків з Королівством Данія
17998,3,119,,mpg,CZE,Член групи з міжпарламентських зв'язків з Чеською Республікою
17998,13,71,,mpg,HUN,Заступник співголови групи з міжпарламентських зв'язків з Угорщиною
15838,7,134,,tcs,tinvest41,Член тимчасової слідчої комісії Верховної Ради України для проведення розслідування відомостей щодо фактів розкрадання в Збройних Силах України та підриву обороноздатності держави у період з 2004 по 2017 роки
15838,6,100,,cmt,komnbo,Член Комітету Верховної Ради України з питань національної безпеки і оборони
15838,2,3,,fra,bp,"Член депутатської фракції ПАРТІЇ ""БЛОК ПЕТРА ПОРОШЕНКА"""
