mp_id,auto_present,auto_absent,manualy_present,manualy_absent,manualy_confirmabsent
11106,249,255,248,235,18
15814,395,109,426,75,0
15810,473,31,477,24,0
11102,362,142,423,78,0
18045,356,148,309,152,40
15773,470,34,23,463,15
15819,148,356,146,355,0
16517,461,43,466,5,30
17996,436,68,439,61,1
18037,463,41,436,39,26
17978,389,115,308,172,21
17666,35,54,47,42,0
2370,145,25,153,2,13
15823,395,109,166,335,0
18122,254,250,342,159,0
19058,425,20,403,39,0
8830,213,291,353,148,0
18123,113,391,271,230,0
15725,372,132,361,140,0
15830,400,104,352,117,32
13379,496,8,491,5,5
17108,314,190,368,132,1
18040,65,65,70,48,12
8832,269,25,264,16,10
13562,83,421,187,310,4
15771,110,394,57,444,0
17982,465,39,445,45,11
18019,460,44,475,25,1
15817,458,46,326,136,39
18018,442,62,451,30,20
15806,426,78,477,16,8
19622,328,43,311,38,19
18025,374,130,383,71,47
15651,466,38,457,32,12
15687,10,4,11,2,0
5380,464,40,394,92,15
15741,452,52,360,141,0
15671,452,52,445,37,19
15670,478,26,451,48,2
5464,479,25,471,20,10
18124,93,411,386,103,12
11584,498,6,497,0,4
18125,411,93,411,70,20
15674,351,45,383,11,3
8696,330,174,302,196,3
18126,130,374,471,18,12
15657,2,2,3,0,0
11131,382,122,482,19,0
862,504,0,500,1,0
8125,445,59,461,34,6
8838,245,259,214,286,1
15680,489,10,476,20,1
20626,103,0,99,0,0
18127,395,109,416,77,8
17960,189,315,405,96,0
18164,489,15,487,9,5
15760,378,126,410,60,31
5422,383,121,422,40,39
18042,382,122,389,49,63
18128,439,65,456,34,11
15800,433,71,240,261,0
11620,425,79,257,242,2
15667,456,48,450,50,1
18022,420,84,419,32,50
15774,463,41,429,72,0
18032,203,301,198,301,2
2308,503,1,501,0,0
18414,449,46,452,35,6
18129,476,28,475,20,6
9123,480,24,455,40,6
18053,403,101,407,87,7
18130,387,117,415,68,18
20105,278,16,259,30,1
18131,474,30,470,31,0
3008,3,1,3,0,0
18029,438,66,442,28,31
18245,431,67,398,98,0
18132,241,263,430,67,4
10096,442,62,454,15,32
16430,227,274,433,47,19
18056,443,61,441,54,6
5582,155,349,204,290,7
20777,32,1,29,1,0
19858,242,87,289,39,0
18166,80,424,110,202,189
17988,125,144,98,166,6
15681,126,378,323,178,0
18133,474,30,474,21,6
5541,366,138,168,333,0
19405,401,7,392,13,0
18026,453,51,460,34,7
18003,233,271,245,250,6
1908,146,24,153,10,5
18020,434,70,435,58,8
17954,401,103,390,107,4
18047,456,48,442,55,4
3180,429,75,434,26,41
18024,315,189,326,159,16
18033,315,189,409,85,7
18004,374,130,385,93,23
18051,424,80,311,184,6
18012,380,124,479,22,0
386,410,94,410,47,44
18134,459,45,425,75,1
18135,414,90,143,358,0
15769,369,135,280,178,43
17968,452,52,423,66,12
18010,339,165,368,42,91
12270,449,55,430,28,43
18136,462,42,453,48,0
18137,498,6,494,7,0
18138,484,20,481,20,0
18220,483,16,461,36,0
11129,4,0,3,0,0
17379,185,26,186,26,0
18139,313,191,442,58,1
11097,349,155,399,75,27
11999,402,102,376,101,24
17948,410,94,413,88,0
18142,493,11,473,28,0
5486,430,74,446,23,32
18140,310,194,340,159,2
17947,426,78,401,95,5
1792,355,149,392,73,36
18141,404,100,418,77,6
17950,466,38,444,51,6
15676,473,31,433,68,0
5415,154,5,158,0,0
5504,418,86,314,182,5
17987,178,326,190,308,3
2086,7,7,7,6,0
9540,346,158,330,110,61
18143,409,95,321,157,23
18144,257,247,281,184,36
18145,22,111,62,62,9
17047,149,10,145,13,0
15653,416,88,360,130,11
15831,477,27,474,10,17
5542,380,124,412,89,0
9684,461,26,398,81,8
18146,439,65,425,76,0
15799,400,104,131,370,0
18147,461,43,456,39,6
15785,438,66,402,87,12
5549,487,17,338,163,0
7741,403,101,399,69,33
8715,132,372,142,342,17
17989,458,46,499,1,1
17979,460,44,465,36,0
18218,369,130,390,98,9
17946,403,101,356,145,0
2340,320,126,365,47,31
15836,492,12,460,32,9
15803,460,44,424,63,14
20106,275,19,204,86,0
19404,380,28,373,26,6
20104,282,12,273,17,0
17650,400,104,418,83,0
8885,376,128,177,324,0
8473,496,8,494,4,3
5785,433,71,458,29,14
5399,339,165,142,349,10
15658,482,22,449,52,0
16532,415,89,378,96,27
8889,66,1,65,2,0
11096,474,30,356,133,12
6548,462,42,472,29,0
2274,340,164,334,156,11
18041,37,467,419,46,36
17980,319,185,424,63,14
19623,302,34,327,9,0
18148,463,41,453,47,1
18149,455,49,416,46,39
18150,477,27,482,19,0
18151,471,33,455,34,12
18152,388,116,383,101,17
18153,12,492,14,441,46
4339,391,113,375,126,0
11116,0,4,1,2,0
